    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    2+   1+0.500000+    3+   1+0.333333 
    2+   1+0.500000+    4+   1+0.250000 
    2+   1+0.500000+    5+   1+0.200000 
    2+   1+0.500000+    6+   1+0.166667 
    2+   1+0.500000+    7+   1+0.142857 
    2+   1+0.500000+    8+   1+0.125000 
    2+   1+0.500000+    9+   1+0.111111 
    2+   1+0.500000+   10+   1+0.100000 
    2+   1+0.500000+   11+   1+0.090909 
    2+   1+0.500000+   12+   1+0.083333 
    2+   1+0.500000+   13+   1+0.076923 
    2+   1+0.500000+   14+   1+0.071429 
    2+   1+0.500000+   15+   1+0.066667 
    2+   1+0.500000+   16+   1+0.062500 
    2+   1+0.500000+   17+   1+0.058824 
    2+   1+0.500000+   18+   1+0.055556 
    2+   1+0.500000+   19+   1+0.052632 
    2+   1+0.500000+   20+   1+0.050000 
    2+   1+0.500000+   21+   1+0.047619 
    2+   1+0.500000+   22+   1+0.045455 
    2+   1+0.500000+   23+   1+0.043478 
    2+   1+0.500000+   24+   1+0.041667 
    2+   1+0.500000+   25+   1+0.040000 
    2+   1+0.500000+   26+   1+0.038462 
    2+   1+0.500000+   27+   1+0.037037 
    2+   1+0.500000+   28+   1+0.035714 
    2+   1+0.500000+   29+   1+0.034483 
    2+   1+0.500000+   30+   1+0.033333 
    2+   1+0.500000+   31+   1+0.032258 
    2+   1+0.500000+   32+   1+0.031250 
    2+   1+0.500000+   33+   1+0.030303 
    2+   1+0.500000+   34+   1+0.029412 
    2+   1+0.500000+   35+   1+0.028571 
    2+   1+0.500000+   36+   1+0.027778 
    2+   1+0.500000+   37+   1+0.027027 
    2+   1+0.500000+   38+   1+0.026316 
    2+   1+0.500000+   39+   1+0.025641 
    2+   1+0.500000+   40+   1+0.025000 
    2+   1+0.500000+   41+   2+0.048780 
    2+   1+0.500000+   42+   2+0.047619 
    2+   1+0.500000+   43+   2+0.046512 
    2+   1+0.500000+   44+   2+0.045455 
    2+   1+0.500000+   45+   2+0.044444 
    2+   1+0.500000+   46+   2+0.043478 
    2+   1+0.500000+   47+   2+0.042553 
    2+   1+0.500000+   48+   2+0.041667 
    2+   1+0.500000+   49+   2+0.040816 
    2+   1+0.500000+   50+   2+0.040000 
    2+   1+0.500000+   51+   2+0.039216 
    2+   1+0.500000+   52+   2+0.038462 
