    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    8+   1+0.125000+    9+   1+0.111111 
    8+   1+0.125000+   10+   1+0.100000 
    8+   1+0.125000+   11+   1+0.090909 
    8+   1+0.125000+   12+   1+0.083333 
    8+   1+0.125000+   13+   1+0.076923 
    8+   1+0.125000+   14+   1+0.071429 
    8+   1+0.125000+   15+   1+0.066667 
    8+   1+0.125000+   16+   1+0.062500 
    8+   1+0.125000+   17+   1+0.058824 
    8+   1+0.125000+   18+   1+0.055556 
    8+   1+0.125000+   19+   1+0.052632 
    8+   1+0.125000+   20+   1+0.050000 
    8+   1+0.125000+   21+   1+0.047619 
    8+   1+0.125000+   22+   1+0.045455 
    8+   1+0.125000+   23+   1+0.043478 
    8+   1+0.125000+   24+   1+0.041667 
    8+   1+0.125000+   25+   1+0.040000 
    8+   1+0.125000+   26+   1+0.038462 
    8+   1+0.125000+   27+   1+0.037037 
    8+   1+0.125000+   28+   1+0.035714 
    8+   1+0.125000+   29+   1+0.034483 
    8+   1+0.125000+   30+   1+0.033333 
    8+   1+0.125000+   31+   1+0.032258 
    8+   1+0.125000+   32+   1+0.031250 
    8+   1+0.125000+   33+   1+0.030303 
    8+   1+0.125000+   34+   1+0.029412 
    8+   1+0.125000+   35+   1+0.028571 
    8+   1+0.125000+   36+   1+0.027778 
    8+   1+0.125000+   37+   1+0.027027 
    8+   1+0.125000+   38+   1+0.026316 
    8+   1+0.125000+   39+   1+0.025641 
    8+   1+0.125000+   40+   1+0.025000 
    8+   1+0.125000+   41+   1+0.024390 
    8+   1+0.125000+   42+   1+0.023810 
    8+   1+0.125000+   43+   1+0.023256 
    8+   1+0.125000+   44+   1+0.022727 
    8+   1+0.125000+   45+   1+0.022222 
    8+   1+0.125000+   46+   1+0.021739 
    8+   1+0.125000+   47+   1+0.021277 
    8+   1+0.125000+   48+   1+0.020833 
    8+   1+0.125000+   49+   1+0.020408 
    8+   1+0.125000+   50+   1+0.020000 
    8+   1+0.125000+   51+   1+0.019608 
    8+   1+0.125000+   52+   1+0.019231 
    8+   1+0.125000+   53+   2+0.037736 
    8+   1+0.125000+   54+   2+0.037037 
    8+   1+0.125000+   55+   2+0.036364 
    8+   1+0.125000+   56+   2+0.035714 
    8+   1+0.125000+   57+   2+0.035088 
    8+   1+0.125000+   58+   2+0.034483 
    8+   1+0.125000+   59+   2+0.033898 
    8+   1+0.125000+   60+   2+0.033333 
    8+   1+0.125000+   61+   2+0.032787 
    8+   1+0.125000+   62+   2+0.032258 
    8+   1+0.125000+   63+   2+0.031746 
    8+   1+0.125000+   64+   2+0.031250 
    8+   1+0.125000+   65+   2+0.030769 
    8+   1+0.125000+   66+   2+0.030303 
    8+   1+0.125000+   67+   2+0.029851 
    8+   1+0.125000+   68+   2+0.029412 
    8+   1+0.125000+   69+   2+0.028986 
    8+   1+0.125000+   70+   2+0.028571 
    8+   1+0.125000+   71+   2+0.028169 
    8+   1+0.125000+   72+   2+0.027778 
    8+   1+0.125000+   73+   2+0.027397 
    8+   1+0.125000+   74+   2+0.027027 
    8+   1+0.125000+   75+   2+0.026667 
    8+   1+0.125000+   76+   2+0.026316 
    8+   1+0.125000+   76+   2+0.026316 
    8+   1+0.125000+   76+   2+0.026316 
