    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    2+   1+0.500000+    3+   1+0.333333 
    2+   1+0.500000+    4+   1+0.250000 
    2+   1+0.500000+    5+   1+0.200000 
    2+   1+0.500000+    6+   1+0.166667 
    2+   1+0.500000+    7+   1+0.142857 
    2+   1+0.500000+    8+   1+0.125000 
    2+   1+0.500000+    9+   1+0.111111 
    2+   1+0.500000+   10+   1+0.100000 
    2+   1+0.500000+   11+   1+0.090909 
    2+   1+0.500000+   12+   2+0.166667 
    2+   1+0.500000+   13+   2+0.153846 
    2+   1+0.500000+   14+   2+0.142857 
    2+   1+0.500000+   15+   2+0.133333 
    2+   1+0.500000+   16+   2+0.125000 
    2+   1+0.500000+   17+   2+0.117647 
    2+   1+0.500000+   18+   2+0.111111 
    2+   1+0.500000+   19+   2+0.105263 
    2+   1+0.500000+   20+   2+0.100000 
    2+   1+0.500000+   21+   2+0.095238 
    2+   1+0.500000+   21+   2+0.095238 
    2+   1+0.500000+   21+   2+0.095238 
