    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    8+   1+0.125000+    9+   1+0.111111 
    8+   1+0.125000+   10+   1+0.100000 
    8+   1+0.125000+   11+   1+0.090909 
    8+   1+0.125000+   12+   1+0.083333 
    8+   1+0.125000+   13+   1+0.076923 
    8+   1+0.125000+   14+   1+0.071429 
    8+   1+0.125000+   15+   1+0.066667 
    8+   1+0.125000+   16+   1+0.062500 
    8+   1+0.125000+   17+   1+0.058824 
    8+   1+0.125000+   18+   1+0.055556 
    8+   1+0.125000+   19+   1+0.052632 
    8+   1+0.125000+   20+   1+0.050000 
    8+   1+0.125000+   21+   1+0.047619 
    8+   1+0.125000+   22+   1+0.045455 
    8+   1+0.125000+   23+   1+0.043478 
    8+   1+0.125000+   24+   2+0.083333 
    8+   1+0.125000+   25+   2+0.080000 
    8+   1+0.125000+   26+   2+0.076923 
    8+   1+0.125000+   27+   2+0.074074 
    8+   1+0.125000+   28+   2+0.071429 
    8+   1+0.125000+   29+   2+0.068966 
    8+   1+0.125000+   30+   2+0.066667 
    8+   1+0.125000+   31+   2+0.064516 
    8+   1+0.125000+   32+   2+0.062500 
    8+   1+0.125000+   33+   2+0.060606 
    8+   1+0.125000+   34+   2+0.058824 
    8+   1+0.125000+   35+   2+0.057143 
    8+   1+0.125000+   36+   2+0.055556 
    8+   1+0.125000+   37+   2+0.054054 
    8+   1+0.125000+   38+   2+0.052632 
    8+   1+0.125000+   39+   2+0.051282 
    8+   1+0.125000+   40+   2+0.050000 
    8+   1+0.125000+   41+   2+0.048780 
    8+   1+0.125000+   42+   2+0.047619 
    8+   1+0.125000+   43+   2+0.046512 
    8+   1+0.125000+   44+   2+0.045455 
    8+   1+0.125000+   45+   2+0.044444 
    8+   1+0.125000+   46+   2+0.043478 
    8+   1+0.125000+   47+   2+0.042553 
    8+   1+0.125000+   48+   2+0.041667 
    8+   1+0.125000+   49+   2+0.040816 
    8+   1+0.125000+   50+   2+0.040000 
    8+   1+0.125000+   51+   2+0.039216 
    8+   1+0.125000+   52+   2+0.038462 
